Name,ICAO,IATA,Latitude,Longitude,Type
KALAIKUNDA,VEDX,,87.214(E),9000 ft,Small
Piardoba Airfield,,,87.300(E),,Closed
Pandaveswar Airfield,,,87.349(E),,Closed
Bishnupur Airfield,,,87.355(E),,Closed
PURNEA,VEPU,,87.410(E),8700 ft,Small
PANAGARH,VEPH,,87.428(E),8700 ft,Medium
Guskhara Airfield,,,87.794(E),,Closed
Pakyong Airport (Under Construction),,,88.587(E),,Small
COOCH BEHAR,VECO,COH,89.467(E),3500 ft,Small
Rupsi India Airport,VERU,RUP,89.910(E),,Small
Baljek Airport,,,90.345(E),,Small
Kamalpur Airport,VEKM,IXQ,91.814(E),,Small
KAILASHAHAR,VEKR,IXH,92.007(E),3300 ft,Medium
TEZPUR,VETZ,TEZ,92.785(E),9010 ft,Medium
CARNICOBAR,VOCX,CBD,92.820(E),8914 ft,Medium
ZERO,VEZO,ZER,93.828(E),4010 ft,Medium
CAMPBELL BAY,,,93.923(E),3445 ft,Small
Koirengei Airstrip,,,93.926(E),,Closed
MACHUKA,,,94.124(E),4395 ft,Small
ALONG,VEAN,IXV,94.802(E),915 ft,Medium
Dinjan Airfield,,,95.269(E),,Closed
SOOKERATING,,,95.571(E),6595 ft,Small
Ledo Airfield,,,95.737(E),,Closed
CHAUKAN PASS,,,97.004(E),3980 ft,Small
Walong Advanced Landing Ground,,,97.020(E),,Small
Aamby Valley Airport,,,73.378(E),,Small
AGARTALA,VEAT,IXA,91.240(E),7500 ft,Medium
AHMEDABAD,VAAH,AMD,72.635(E),11447 ft,Medium
LENGPUI,VELP,AJL,92.620(E),8202 ft,Medium
Akli Airport,,,70.294(E),,Small
Dhanipur Airstrip,VIAH,,78.147(E),,Small
ALLAHABAD,VIAL,IXD,81.734(E),8110 ft,Medium
Amravati (Belora) Airstrip,,,77.718(E),,Small
Amreli Airstrip,,,71.223(E),,Small
Luton,,NLE,0.000(E),,Small
AMRITSAR,VIAR,ATQ,74.797(E),10791 ft,Large
AURANGABAD,VAAU,IXU,75.398(E),7713 ft,Medium
Balurghat Airport,VEBG,RGH,88.796(E),,Small
BANGALORE,VOBG,,77.668(E),10850 ft,Medium
Kempegowda International Airport,VOBL,BLR,77.706(E),,Large
BAREILLY,VIBY,BEK,79.451(E),9000 ft,Medium
BARRACKPORE,,,88.359(E),6116 ft,Small
Behala Airport,VEBA,,88.293(E),,Small
BELGAUM,VABM,IXG,74.618(E),4786 ft,Medium
BELLARY,VOBI,BEP,76.883(E),3630 ft,Medium
Bhagalpur Airport,,,87.010(E),,Closed
BHAVNAGAR,VABV,BHU,72.185(E),6300 ft,Medium
BHOPAL,VABP,BHO,77.337(E),6700 ft,Medium
BHUBANESHWAR,VEBS,BBI,85.818(E),7359 ft,Medium
BHUJ,VABJ,BHJ,69.670(E),8205 ft,Medium
NAL,VIBK,BKB,73.207(E),8960 ft,Medium
CHANDIGARH,VICG,IXC,76.789(E),9001 ft,Medium
TAMBARAM,VOTX,,80.122(E),5965 ft,Small
COCHIN INTL,VOCI,COK,76.402(E),11155 ft,Large
COIMBATORE,VOCB,CJB,77.043(E),8480 ft,Medium
GOA,VAGO,GOI,73.831(E),11345 ft,Large
Daporijo Airport,VEDZ,DEP,94.223(E),,Small
DEHRADUN,VIDN,DED,78.180(E),3405 ft,Medium
INDIRA GANDHI INTL,VIDP,DEL,77.103(E),12500 ft,Large
SAFDARJUNG,VIDD,,77.206(E),4260 ft,Medium
Dhubulia Airstrip,,,88.454(E),,Closed
DIBRUGARH,VEMN,DIB,95.017(E),6000 ft,Medium
