Name,ICAO,IATA,Latitude,Longitude,Type
Akola Airport,VAAK,AKD,20.698931,77.056883,medium_airport
Aurangabad Airport,VAAU,IXU,19.862875,75.396312,medium_airport
Chhatrapati Shivaji Maharaj International Airport,VABB,BOM,19.088699,72.867897,large_airport
Bhuj Airport,VABJ,BHJ,23.2877998352,69.6701965332,medium_airport
Belagavi Airport,VABM,IXG,15.8593,74.618301,medium_airport
Vadodara International Airport,VABO,BDQ,22.336201,73.226303,large_airport
Raja Bhoj International Airport,VABP,BHO,23.2875,77.337402,large_airport
Bhavnagar Airport,VABV,BHU,21.752199173,72.1852035522,medium_airport
Daman Airport,VADN,NMB,20.434401,72.843201,medium_airport
Deesa Airport,VADS,,24.2679,72.204399,small_airport
Guna Airport,VAGN,GUX,24.654699,77.347298,small_airport
Hubballi Airport,VAHB,HBX,15.361084,75.082096,medium_airport
Rajkot International Airport,VAHS,HSR,22.378824,71.039391,large_airport
Devi Ahilya Bai Holkar International Airport,VAID,IDR,22.721404,75.80051,large_airport
Jabalpur Airport,VAJB,JLR,23.177799,80.052002,medium_airport
Juhu Aerodrome,VAJJ,,19.098100662231445,72.83419799804688,small_airport
Jalgaon Airport,VAJL,JLG,20.962678,75.627492,small_airport
Jamnagar Airport,VAJM,JGA,22.465499877929688,70.01260375976562,medium_airport
Kandla Airport,VAKE,IXY,23.1127,70.100304,medium_airport
Khajuraho Airport,VAKJ,HJR,24.8172,79.918602,medium_airport
Kolhapur Airport,VAKP,KLH,16.6647,74.289398,medium_airport
Keshod Airport,VAKS,IXK,21.317101,70.270401,medium_airport
Murod Kond Airport,VALT,LTU,18.411501,76.464699,medium_airport
Mundra Airport,VAMA,,22.834795,69.765408,small_airport
Nanded Airport,VAND,NDC,19.1833,77.316704,medium_airport
Dr. Babasaheb Ambedkar International Airport,VANP,NAG,21.092199,79.047203,large_airport
Nashik International Airport,VAOZ,ISK,20.119101,73.912903,large_airport
Pune International Airport,VAPO,PNQ,18.5821,73.919701,large_airport
Porbandar Airport,VAPR,PBD,21.649524,69.656405,medium_airport
Ratnagiri Airport,VARG,RTC,17.013599,73.327797,medium_airport
Rajkot Airport,VARK,RAJ,22.3092,70.779503,medium_airport
Swami Vivekananda Airport,VARP,RPR,21.180401,81.7388,medium_airport
Shirdi International Airport,VASD,SAG,19.689211,74.373655,large_airport
Solapur Airport,VASL,SSE,17.6280002594,75.93479919430001,medium_airport
Surat International Airport,VASU,STV,21.115531,72.743251,large_airport
Maharana Pratap Airport,VAUD,UDR,24.6177005768,73.89610290530001,medium_airport
Burnpur Airport,VE23,,23.631500244140625,86.97550201416016,small_airport
Sookerating (Doomdooma) Airport,VE24,,27.5529,95.570602,small_airport
Nuagaon Airport,VE36,,20.511699676513672,83.4480972290039,small_airport
Giridih Airport,VE41,,24.20190048217773,86.28980255126953,small_airport
Daltonganj Airport,VE54,,24.01930046081543,84.09510040283203,small_airport
Cuttack Airport / Charbatia Air Force Station,VE62,,20.549601,85.886299,small_airport
Mechuka Advanced Landing Ground,VE67,,28.602458,94.126139,small_airport
Bentayan Airport,VE85,,23.09510040283203,75.88529968261719,small_airport
Vijaynagar Advanced Landing Ground,VE91,,27.1935997009,97.0037002563,small_airport
Thuniabhand Airport,VE96,,22.00160026550293,78.91719818115234,small_airport
Azamgarh Airport,VEAH,AZH,26.153333,83.118333,small_airport
Along Airport,VEAN,IXV,28.17530059814453,94.802001953125,medium_airport
Agartala - Maharaja Bir Bikram Airport,VEAT,IXA,23.886999,91.240402,medium_airport
Tuirial Airfield,VEAZ,,23.746214,92.802846,small_airport
Behala Airport,VEBA,,22.50423,88.293427,small_airport
